Configuración;Modelo Base;Modelo LLM;Peso LLM;Threshold;Precision (%);Recall (%);F1-Score (%)
Solo Keyword Matching;Keyword Matching;gemma3_27b-it-q4_K_M;0,00;0,30;100,00;0,56;1,11
Híbrido (40% Keyword Matching + 60% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,60;0,70;100,00;0,28;0,55
Híbrido (70% Keyword Matching + 30% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,30;0,50;100,00;0,28;0,55
Híbrido (50% Keyword Matching + 50% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,50;0,60;100,00;0,14;0,28
Híbrido (50% Keyword Matching + 50% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,50;0,70;0,00;0,00;0,00
Híbrido (60% Keyword Matching + 40% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,40;0,70;0,00;0,00;0,00
Híbrido (40% Keyword Matching + 60% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,60;0,70;0,00;0,00;0,00
Solo Keyword Matching;Keyword Matching;gemma3_27b-it-q4_K_M;0,00;0,40;0,00;0,00;0,00
Híbrido (70% Keyword Matching + 30% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,30;0,70;0,00;0,00;0,00
Híbrido (70% Keyword Matching + 30% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,30;0,60;0,00;0,00;0,00
Híbrido (70% Keyword Matching + 30% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,30;0,50;0,00;0,00;0,00
Híbrido (60% Keyword Matching + 40% gemma3_27b-it-q4_K_M);Keyword Matching;gemma3_27b-it-q4_K_M;0,40;0,60;0,00;0,00;0,00
Solo Keyword Matching;Keyword Matching;gemma3_27b-it-q4_K_M;0,00;0,70;0,00;0,00;0,00
Solo Keyword Matching;Keyword Matching;gemma3_27b-it-q4_K_M;0,00;0,60;0,00;0,00;0,00
Solo Keyword Matching;Keyword Matching;gemma3_27b-it-q4_K_M;0,00;0,50;0,00;0,00;0,00
Híbrido (70% Keyword Matching + 30% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,30;0,60;0,00;0,00;0,00
Híbrido (60% Keyword Matching + 40% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,40;0,60;0,00;0,00;0,00
Híbrido (70% Keyword Matching + 30% gemma3_27b-it-q8_0);Keyword Matching;gemma3_27b-it-q8_0;0,30;0,70;0,00;0,00;0,00
